Appends Phylogenetic IDs (PIDs) for 90 Taxa
Most Divergent Branch: abcefgrstuvwxEFIJKL
Number of unique groups: 5
Total Counts for each group: 
Group A: 39
Group !: 7
Group C: 39
Group B: 2
Group D: 3
Taxa_New_Name	Old_Name
Ls_NOR_Unit_66_C21___A:a	Ls_NOR_Unit_66_C21
Ls_NOR_Unit_54_C27___A:ab	Ls_NOR_Unit_54_C27
Ls_NOR_Unit_52_C28___A:abc	Ls_NOR_Unit_52_C28
Ls_NOR_Unit_43_C31___A:abcdef	Ls_NOR_Unit_43_C31
Ls_NOR_Unit_37_C34___A:abcdefg	Ls_NOR_Unit_37_C34
Ls_NOR_Unit_46_C30___A:abcdefg	Ls_NOR_Unit_46_C30
Ls_NOR_Unit_04_C223__A:abcde	Ls_NOR_Unit_04_C223
Ls_NOR_Unit_10_C99___A:abcd	Ls_NOR_Unit_10_C99
Ls_NOR_Unit_71_C20___A:h	Ls_NOR_Unit_71_C20
Ls_NOR_Unit_39_C33___A:hi	Ls_NOR_Unit_39_C33
Ls_NOR_Unit_25_C48___A:hij	Ls_NOR_Unit_25_C48
Ls_NOR_Unit_20_C54___A:hijkl	Ls_NOR_Unit_20_C54
Ls_NOR_Unit_82_C16___A:hijklm	Ls_NOR_Unit_82_C16
Ls_NOR_Unit_65_C21___A:hijklmno	Ls_NOR_Unit_65_C21
Ls_NOR_Unit_59_C23___A:hijklmno	Ls_NOR_Unit_59_C23
Ls_NOR_Unit_05_C199__A:hijklmn	Ls_NOR_Unit_05_C199
Ls_NOR_Unit_64_C21___A:hijkp	Ls_NOR_Unit_64_C21
Ls_NOR_Unit_88_C14___A:hijkpq	Ls_NOR_Unit_88_C14
Ls_NOR_Unit_84_C15___A:hijkpqr	Ls_NOR_Unit_84_C15
Ls_NOR_Unit_33_C35___!:a	Ls_NOR_Unit_33_C35
Ls_NOR_Unit_81_C16___!:ab	Ls_NOR_Unit_81_C16
Ls_NOR_Unit_53_C27___!:abc	Ls_NOR_Unit_53_C27
Ls_NOR_Unit_76_C17___!:abcdef	Ls_NOR_Unit_76_C17
Ls_NOR_Unit_67_C21___!:abcdef	Ls_NOR_Unit_67_C21
Ls_NOR_Unit_58_C23___!:abcde	Ls_NOR_Unit_58_C23
Ls_NOR_Unit_03_C274__!:abcd	Ls_NOR_Unit_03_C274
Ls_NOR_Unit_62_C22___C:a	Ls_NOR_Unit_62_C22
Ls_NOR_Unit_22_C52___C:ab	Ls_NOR_Unit_22_C52
Ls_NOR_Unit_68_C21___C:abcd	Ls_NOR_Unit_68_C21
Ls_NOR_Unit_18_C56___C:abcd	Ls_NOR_Unit_18_C56
Ls_NOR_Unit_14_C63___C:abce	Ls_NOR_Unit_14_C63
Ls_NOR_Unit_69_C20___B:a	Ls_NOR_Unit_69_C20
Ls_NOR_Unit_56_C26___B:a	Ls_NOR_Unit_56_C26
Ls_NOR_Unit_90_C14___D:ab	Ls_NOR_Unit_90_C14
Ls_NOR_Unit_89_C14___D:ab	Ls_NOR_Unit_89_C14
Ls_NOR_Unit_74_C18___D:a	Ls_NOR_Unit_74_C18
Ls_NOR_Unit_45_C30___C:abcefghijk	Ls_NOR_Unit_45_C30
Ls_NOR_Unit_21_C53___C:abcefghijk	Ls_NOR_Unit_21_C53
Ls_NOR_Unit_57_C24___C:abcefghil	Ls_NOR_Unit_57_C24
